Equipo,Voltaje,Compartimiento,Conector,CodigoComp,Posicion,Cable,Familia,ModeloHoja,Precio,Listado,Criterio,ModeloListado,CodigoOrden,Descripcion,VoltsAmp,Dimensiones,Peso,KWH,Garantia,ConectorBateria
"RM/RMD6025 - RM/RMD6095S (18"")",36,38.69 x 18 x 31,SB350 GRAY,D24,A,9,HAWKER FLEX,18-FLX700-31 (206812T2-SBKN),18227.94815,Master Hawker List,order code,18-125-15,18-FLX700-31 (206812T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 700AH,38.33 x 17.75 x 30.56,2400,,1 Year,N/A
"RM/RMD6025 - RM/RMD6095S (18"")",36,38.69 x 18 x 31,SB350 GRAY,D24,A,9,COOLPOWER,18-125-15,7924.377048,Master CoolpowerList ,order code,18-125-15,18-125-15,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2556,30.56,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,V-FORCE VTR,18-125VTR-17B,12730.55556,V-Force VTR Battery,order code,18-125-17,18-125VTR-17B,Tubular Flooded Lead Acid Industrial Battery,36/1000,38.38 x 20.42 x 30.88,2808,34.74,5 Years,
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,V-FORCE VTR,18-125VTR-17B,12730.55556,V-Force VTR Battery,order code,18-125-17,18-125VTR-17B,Tubular Flooded Lead Acid Industrial Battery,36/1000,38.38 x 20.42 x 30.88,2808,34.74,5 Years,
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,STRYTEN F100 (CLASSIC),M2601812517B,9251,Master GNB List,order code,18-125-17,M2601812517B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2673,30.78,3 Yrs Full + 2 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,STRYTEN T300 (CMX),M2701812517B,9993,Master GNB List,order code,18-125-17,M2701812517B,Tubular Flooded Lead Acid Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2652,30.78,5 Yrs Full + 1 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,COOLPOWER,18-125-17,8902.605138,Master CoolpowerList ,order code,18-125-17,18-125-17,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2844,34.74,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,HAWKER FLEX,18-FLX840-37 (206813T2-SBKN),20900.98889,Master Hawker List,order code,18-125-17,18-FLX840-37 (206813T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 840AH,38.33 X 20.21 X 30.56,2737,,1 Year,N/A
"RM/RMD6025 - RM/RMD6095S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,HAWKER FLEX,36FLX558_186 (510548T-SGRN CUSTOM),20042.46481,Master Hawker List,order code,36FLX558_186 (510548T-SGRN CUSTOM),36FLX558_186 (510548T-SGRN CUSTOM),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.27 x 20.15 x 25.75,2600,,1 Year,N/A
"RM/RMD6025 - RM/RMD6095S (22"")",36,38.38 x 22.75 x 30,SB350 GRAY,F35,A,9,V-FORCE VTR,18-125VTR-19,14315.27778,V-Force VTR Battery,order code,18-125-19,18-125VTR-19,Tubular Flooded Lead Acid Industrial Battery,36/1125,38.56 x 22.66 x 30.92,3100,39.08,5 Years,
"RM/RMD6025 - RM/RMD6095S (22"")",36,38.38 x 22.75 x 30,SB350 GRAY,F35,A,9,STRYTEN T300 (CMX),M2701812519B,11172,Master GNB List,order code,18-125-19,M2701812519B,Tubular Flooded Lead Acid Industrial Battery,36V / 1125AH,38.31 x 22.38 x 30.5,3100,34.6275,5 Yrs Full + 1 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (22"")",36,38.38 x 22.75 x 30,SB350 GRAY,F35,A,9,HAWKER FLEX,18-FLX840-37 (206950T2-SBKN),23118.73148,Master Hawker List,order code,18-125-19,18-FLX840-37 (206950T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 840AH,38.31 X 22.31 X 30.56,3168,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 24,SB350 GRAY,C14,A,9,STRYTEN F100 (CLASSIC),M2601812513B,7163,Master GNB List,order code,18-125-13,M2601812513B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2042,23.085,3 Yrs Full + 2 Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 25,SB350 GRAY,C14,A,9,STRYTEN T300 (CMX),M2701812513B,7730,Master GNB List,order code,18-125-13,M2701812513B,Tubular Flooded Lead Acid Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2034,23.085,5 Yrs Full + 1 Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 26,SB350 GRAY,C14,A,9,HAWKER FLEX,36FLX372_186 (206669T-SBKN(510738)),11987.29259,Master Hawker List,order code,18-125-11,36FLX372_186 (206669T-SBKN(510738)),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 372AH,38.02 X 13.31 X 26.61,1800,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 27,SB350 GRAY,C14,A,9,COOLPOWER,18-125-13,6909.100044,Master CoolpowerList ,order code,18-125-13,18-125-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2250,26.19,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 28,SB350 GRAY,C14,A,9,HAWKER FLEX,36FLX558_186 (206657T-SBKN),18346.77963,Master Hawker List,order code,18-125-13,36FLX558_186 (206657T-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.28 X 15.53 X 29.94,2235,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 29,SB350 GRAY,C14,A,9,V-FORCE TUBULAR,18-125VTA-13,9392.133333,V-Force VTA-VTE Battery,order code,18-125-13,18-125VTA-13,Tubular Low Maintenance Lead Acid Industrial Battery,36/750,38.1 x 15.59 x 30.5,2061,26.19,5 Years,N
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 30,SB350 GRAY,C14,A,9,V-FORCE TUBULAR,18-140VTE-13,10463.2,V-Force VTA-VTE Battery,order code,18-125-13,18-140VTE-13,Tubular High Capacity Lead Acid Industrial Battery,36/840,37.91 x 15.59 x 30.5,2113,29.33,5 Years,N
"RR/RD5725 - RR/RD5795S (16"")",36,38.44 x 16.25 x 31,SB350 GRAY,C14,A,9,V-FORCE VTR,18-125VTR-13,9852.777778,V-Force VTR Battery,order code,18-125-13,18-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,36/750,37.91 x 15.59 x 30.5,2088,26.06,5 Years,
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,STRYTEN F100 (CLASSIC),M2601812515B,8089,Master GNB List,order code,18-125-15,M2601812515B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2349,26.9325,3 Yrs Full + 2 Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,STRYTEN T300 (CMX),M2701812515B,8735,Master GNB List,order code,18-125-15,M2701812515B,Tubular Flooded Lead Acid Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2330,26.9325,5 Yrs Full + 1 Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,HAWKER FLEX,18-FLX625-31** (310B52P01T2-SBKN),18632.50926,Master Hawker List,order code,18-125-15,18-FLX625-31** (310B52P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 625AH,38.19 X 17.75 X 30.75,2412,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,HAWKER FLEX,18-FLX700-31 (206812T2-SBKN),18227.94815,Master Hawker List,order code,18-125-15,18-FLX700-31 (206812T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 700AH,38.33 x 17.75 x 30.56,2400,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,COOLPOWER,18-125-15,7924.377048,Master CoolpowerList ,order code,18-125-15,18-125-15,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2556,30.56,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,V-FORCE TUBULAR,18-125VTA-15,10711.95556,V-Force VTA-VTE Battery,order code,18-125-15,18-125VTA-15,Tubular Low Maintenance Lead Acid Industrial Battery,36/875,38.31 x 17.86 x 30.5,2354,30.56,5 Years,N
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,V-FORCE TUBULAR,18-140VTE-15,11948,V-Force VTA-VTE Battery,order code,18-125-15,18-140VTE-15,Tubular High Capacity Lead Acid Industrial Battery,36/980,38.31 x 17.86 x 30.5,2448,34.22,5 Years,N
"RR/RD5725 - RR/RD5795S (18"")",36,38.69 x 18.19 x 31,SB350 GRAY,D24,A,9,V-FORCE VTR,18-125VTR-15,11463.88889,V-Force VTR Battery,order code,18-125-15,18-125VTR-15,Tubular Flooded Lead Acid Industrial Battery,36/875,38.27 x 17.72 x 30.5,2376,30.4,5 Years,
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,V-FORCE VTR,18-125VTR-17B,12730.55556,V-Force VTR Battery,order code,18-125-17,18-125VTR-17B,Tubular Flooded Lead Acid Industrial Battery,36/1000,38.38 x 20.42 x 30.88,2808,34.74,5 Years,
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,STRYTEN F100 (CLASSIC),M2601812517B,9251,Master GNB List,order code,18-125-17,M2601812517B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2673,30.78,3 Yrs Full + 2 Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,STRYTEN T300 (CMX),M2701812517B,9993,Master GNB List,order code,18-125-17,M2701812517B,Tubular Flooded Lead Acid Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2652,30.78,5 Yrs Full + 1 Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,HAWKER FLEX,18-FLX750-37** (310B47P01T2-SBKN),20900.98889,Master Hawker List,order code,18-125-17,18-FLX750-37** (310B47P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 750AH,37.12 X 20.25 X 30.75,2718,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,HAWKER FLEX,18-FLX840-37 (206813T2-SBKN),20900.98889,Master Hawker List,order code,18-125-17,18-FLX840-37 (206813T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 840AH,38.33 X 20.21 X 30.56,2737,,1 Year,N/A
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,COOLPOWER,18-125-17,8902.605138,Master CoolpowerList ,order code,18-125-17,18-125-17,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2844,34.74,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,V-FORCE TUBULAR,18-125VTA-17B,12415.86667,V-Force VTA-VTE Battery,order code,18-125-17,18-125VTA-17B,Tubular Low Maintenance Lead Acid Industrial Battery,36/1000,38.48 x 20.30 x 30.5,2806,34.92,5 Years,N
"RR/RD5725 - RR/RD5795S (20"")",36,38.69 x 20.75 x 31,SB350 GRAY,E30,A,9,V-FORCE TUBULAR,18-140VTE-17B,13047.42222,V-Force VTA-VTE Battery,order code,18-125-17,18-140VTE-17B,Tubular High Capacity Lead Acid Industrial Battery,36/1120,38.48 x 20.30 x 30.5,2862,39.11,5 Years,N
"RR/RD5725 - RR/RD5795S (22"")",36,38.69 x 22.75 x 31,SB350 GRAY,"f33,35",A,9,V-FORCE TUBULAR,18-125VTA-19,13752.44444,V-Force VTA-VTE Battery,order code,18-125-19,18-125VTA-19,Tubular Low Maintenance Lead Acid Industrial Battery,36/1125,38.31 x 22.38 x 30.5,3118,39.29,5 Years,N
"RR/RD5725 - RR/RD5795S (22"")",36,38.69 x 22.75 x 31,SB350 GRAY,"f33,35",A,9,V-FORCE TUBULAR,18-140VTE-19,15296.53333,V-Force VTA-VTE Battery,order code,18-125-19,18-140VTE-19,Tubular High Capacity Lead Acid Industrial Battery,36/1260,38.21x22.38x30.5,3184,44,5 Years,N
"RR/RD5725 - RR/RD5795S (22"")",36,38.69 x 22.75 x 31,SB350 GRAY,"f33,35",A,9,V-FORCE VTR,18-125VTR-19,14315.27778,V-Force VTR Battery,order code,18-125-19,18-125VTR-19,Tubular Flooded Lead Acid Industrial Battery,36/1125,38.56 x 22.66 x 30.92,3100,39.08,5 Years,
"RR/RD5725 - RR/RD5795S (22"")",36,38.69 x 22.75 x 31,SB350 GRAY,"f33,35",A,9,STRYTEN T300 (CMX),M2701812519B,11172,Master GNB List,order code,18-125-19,M2701812519B,Tubular Flooded Lead Acid Industrial Battery,36V / 1125AH,38.31 x 22.38 x 30.5,3100,34.6275,5 Yrs Full + 1 Prorated,SB350 Gray
"RR5715-35/40 (14"")",24,36.25 x 14.25 x 31,SB350 RED,Code B6,A,9,V-FORCE VTR,12-125VTR-17,9059.722222,V-Force VTR Battery,order code,12-125-17,12-125VTR-17,Tubular Flooded Lead Acid Industrial Battery,24/1000,38.12 x 13.45 x 30.5,1800,23.16,5 Years,
"RR5715-35/40 (14"")",24,36.25 x 14.25 x 31,SB350 RED,Code B6,A,9,V-FORCE VTR,12-125VTR-19,10076.38889,V-Force VTR Battery,order code,12-125-19,12-125VTR-19,Tubular Flooded Lead Acid Industrial Battery,24/1125,38.27 x 14.92 x 30.5,2016,26.06,5 Years,
"RR5715-35/40 (14"")",24,36.25 x 14.25 x 31,SB350 RED,Code B6,A,9,STRYTEN F100 (CLASSIC),M2601212515A6,5786,Master GNB List,order code,12-125-15,M2601212515A6,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 875AH,35.25 x 14 x 30.5,1695,17.955,3 Yrs Full + 2 Prorated,SB350 Red
"RR5715-35/40 (14"")",24,36.25 x 14.25 x 31,SB350 RED,Code B6,A,9,STRYTEN T300 (CMX),M2701212515A6,6203,Master GNB List,order code,12-125-15,M2701212515A6,Tubular Flooded Lead Acid Industrial Battery,24V / 875AH,35.25 x 14 x 30.5,1598,17.955,5 Yrs Full + 1 Prorated,SB350 Red
"RR5715-35/40 (14"")",24,36.25 x 14.25 x 31,SB350 RED,Code B6,A,9,COOLPOWER,12-125-15,5425.284102,Master CoolpowerList ,order code,12-125-15,12-125-15,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 875AH,35.25 x 14 x 30.5,1704,20.27,3Yrs Full + 1Yrs Prorated,SB350 Red
"RR5715-35/40 (14"")",24,36.25 x 14.25 x 31,SB350 RED,Code B5,A,9,COOLPOWER,12-125-17,6087.583572,Master CoolpowerList ,order code,12-125-17,12-125-17,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 1000AH,38.13 x 13.44 x 30.5,1896,23.28,3Yrs Full + 1Yrs Prorated,SB350 Red
"RR5715-35/40 (16"")",24,38.38 x 16.25 x 31,SB350 RED,Code B13,A,9,STRYTEN F100 (CLASSIC),M2601212519B,6935,Master GNB List,order code,12-125-19,M2601212519B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 1125AH,38.19 x 15 x 30.5,1974,23.085,3 Yrs Full + 2 Prorated,SB350 Red
"RR5715-35/40 (16"")",24,38.38 x 16.25 x 31,SB350 RED,Code B13,A,9,STRYTEN T300 (CMX),M2701212519B,7484,Master GNB List,order code,12-125-19,M2701212519B,Tubular Flooded Lead Acid Industrial Battery,24V / 1125AH,38.19 x 15 x 30.5,1961,23.085,5 Yrs Full + 1 Prorated,SB350 Red
"RR5715-35/40 (16"")",24,38.38 x 16.25 x 32,SB350 RED,"Code B5,7",A,9,V-FORCE TUBULAR,12-125VTA-19,9191.066667,V-Force VTA-VTE Battery,order code,12-125-19,12-125VTA-19,Tubular Low Maintenance Lead Acid Industrial Battery,24/1125,38.3 x 15.50 x 30.5,1984,26.19,5 Years,N
"RR5715-35/40 (16"")",24,38.38 x 16.25 x 33,SB350 RED,"Code B5,7",A,9,V-FORCE TUBULAR,12-140VTE-19,10215.73333,V-Force VTA-VTE Battery,order code,12-125-19,12-140VTE-19,Tubular High Capacity Lead Acid Industrial Battery,24/1260,38.3 x 15.50 x 30.5,1984,29.33,5 Years,N
"RR5715-35/40 (16"")",24,38.38 x 16.25 x 34,SB350 RED,"Code B5,7",A,9,V-FORCE VTR,12-125VTR-19,10076.38889,V-Force VTR Battery,order code,12-125-19,12-125VTR-19,Tubular Flooded Lead Acid Industrial Battery,24/1125,38.27 x 14.92 x 30.5,2016,26.06,5 Years,
"RR5715-35/40 (16"")",24,38.38 x 16.25 x 31,SB350 RED,Code C14,A,9,V-FORCE VTR,12-125VTR-19,10076.38889,V-Force VTR Battery,order code,12-125-19,12-125VTR-19,Tubular Flooded Lead Acid Industrial Battery,24/1125,38.27 x 14.92 x 30.5,2016,26.06,5 Years,
"RT4020 (11"")",24,25.43 x 11.1 x 27.5,SB175 GRAY,Opt 4,A,20,V-FORCE VTR,12-90VTR-09,3813.888889,V-Force VTR Battery,order code,12-85-9,12-90VTR-09,Tubular Flooded Lead Acid Industrial Battery,24/360,25.37 x 10.85 x 23.12,680,8.38,5 Years,
"RT4020 (11"")",24,25.43 x 11.1 x 27.5,SB175 GRAY,Opt 4,A,20,V-FORCE VTR,12-90VTR-07,3200,V-Force VTR Battery,order code,12-85-7,12-90VTR-07,Tubular Flooded Lead Acid Industrial Battery,24/270,25.37 x 8.6 x 23.12,559,6.29,5 Years,
"RT4020 (11"")",24,25.43 x 11.1 x 27.5,SB175 GRAY,Opt 4,A,20,STRYTEN F110 (FPX),M1501208509D,3173,Master GNB List,order code,12-85-9,M1501208509D,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 340AH,25.5 x 10.88 x 23.25,709,6.9768,5 Yrs Full,SB175 Gray 
"RT4020 (8"")",24,25.43 x 8.8 x 27.5,SB175 GRAY,Opt 1,A,20,STRYTEN F100 (CLASSIC),M1601208507D,2479,Master GNB List,order code,12-85-7,M1601208507D,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 255AH,25.38 x 8.69 x 23.25,565,5.2326,3 Yrs Full + 2 Prorated,SB175 Gray
"RT4020 (11"")",24,25.43 x 11.1 x 27.5,SB175 GRAY,Opt 4,A,20,HAWKER FLEX,24FLX332_166 (206366T),,,sin match,,24FLX332_166 (206366T),no encontrado,no encontrado,no encontrado,no encontrado,,no encontrado,
"SC5710/15-30 36v (16"")",36,38.81 x 16.01 x 22.63,SB350 GRAY,Code 13,A,9,COOLPOWER,18-85-13,6011.998314,Master CoolpowerList ,order code,18-85-13,18-85-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 510AH,38 x 15.5 x 22.2,2844,18,3Yrs Full + 1Yrs Prorated,SB350 Gray
"SC5710/15-30 36v (16"")",36,38.81 x 16.01 x 22.63,SB350 GRAY,Code 13,A,9,HAWKER FLEX,36FLX314_157 (206919T-SBKN),,,sin match,,36FLX314_157 (206919T-SBKN),no encontrado,no encontrado,no encontrado,no encontrado,,no encontrado,
"SC5710/15-30 36v (16"")",36,38.81 x 16.01 x 22.63,SB350 GRAY,Code 13,A,9,V-FORCE TUBULAR,18-90VTA-13,7192,V-Force VTA-VTE Battery,order code,18-85-13,18-90VTA-13,Tubular Low Maintenance Lead Acid Industrial Battery,36/540,38.37x15.56x22.63,1570,18.86,5 Years,N
"SC5710/15-30 36v (16"")",36,38.81 x 16.01 x 22.63,SB350 GRAY,Code 13,A,9,V-FORCE TUBULAR,18-100VTE-13,7737.2,V-Force VTA-VTE Battery,order code,18-100-13,18-100VTE-13,Tubular High Capacity Lead Acid Industrial Battery,36/600,38.37x15.56x22.63,1475,20.95,5 Years,N
"SC5710/15-30 36v (16"")",36,38.81 x 16.01 x 22.63,SB350 GRAY,Code 13,A,9,STRYTEN F100 (CLASSIC),M2601808513B,5637,Master GNB List,order code,18-85-13,M2601808513B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 510AH,38 x 15.5 x 22.2,1740,15.6978,3 Yrs Full + 2 Prorated,SB350 Gray
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,V-FORCE VTR,18-90VTR-17,9125,V-Force VTR Battery,order code,18-85-17,18-90VTR-17,Tubular Flooded Lead Acid Industrial Battery,36/720,38.27 x 19.94 x 22.75,1931,25.14,5 Years,
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,STRYTEN T300 (CMX),M2701808517B,7871,Master GNB List,order code,18-85-17,M2701808517B,Tubular Flooded Lead Acid Industrial Battery,36V / 680AH,38.25 x 19.94 x 22.63,1935,20.9304,5 Yrs Full + 1 Prorated,SB350 Gray
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,STRYTEN F100 (CLASSIC),M2601808517B,7298,Master GNB List,order code,18-85-17,M2601808517B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 680AH,38.25 x 19.94 x 22.2,1931,20.9304,3 Yrs Full + 2 Prorated,SB350 Gray
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,HAWKER FLEX,18-FLX660-37 (310B92P01T2-SBKN),16684.47407,Master Hawker List,order code,18-85-17,18-FLX660-37 (310B92P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 660AH,38.25 X 20.24 X 22.62,1998,,1 Year,N/A
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,COOLPOWER,18-85-17,6925.78005,Master CoolpowerList ,order code,18-85-17,18-85-17,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 680AH,38.25 x 19.94 x 22.2,2016,24,3Yrs Full + 1Yrs Prorated,SB350 Gray
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,V-FORCE TUBULAR,18-90VTA-17,9340.577778,V-Force VTA-VTE Battery,order code,18-85-17,18-90VTA-17,Tubular Low Maintenance Lead Acid Industrial Battery,36/720,38.21x19.92x22.63,1926,25.14,5 Years,N
"SC5720/25-30/35  36v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,V-FORCE TUBULAR,18-100VTE-17,10122.93333,V-Force VTA-VTE Battery,order code,18-85-17,18-100VTE-17,Tubular High Capacity Lead Acid Industrial Battery,36/800,38.21x19.92x22.63,1926,27.94,5 Years,N
"SC5720/25-30/35  48v (20"")",36,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,V-FORCE VTR,24-90VTR-13B,9611.111111,V-Force VTR Battery,order code,24-85-13,24-90VTR-13B,Tubular Flooded Lead Acid Industrial Battery,48/540,37.91 x 20.45 x 22.68,1996,25.14,5 Years,
"SC5720/25-30/35  48v (20"")",48,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,V-FORCE VTR,24-90VTR-15C,11115.27778,V-Force VTR Battery,order code,24-85-15,24-90VTR-15C,Tubular Flooded Lead Acid Industrial Battery,48/630,38.27 x 24.62 x 22.69,2366,29.33,5 Years,
"SC5720/25-30/35  48v (20"")",48,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,SIN CLASIFICAR,M2902409013B,,,sin match,,M2902409013B,no encontrado,no encontrado,no encontrado,no encontrado,,no encontrado,
"SC5720/25-30/35  48v (20"")",48,38.81 x 20.50 x 22.63,SB350 GRAY,Code 17,A,9,COOLPOWER,24-85-13,7411.075854,Master CoolpowerList ,order code,24-85-13,24-85-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,48V / 510AH,38 x 20.5 x 22.2,2275,24,3Yrs Full + 1Yrs Prorated,SB350 Blue
"SC5740/45-30/35  36v (25"")",36,38.81 x 25 x 22.63,SB350 GRAY,Code 21,A,9,,18-90VTR-21,11665.27778,,sin match,,18-90VTR-21,Tubular Flooded Lead Acid Industrial Battery,36/900,38.27 x 24.43 x 22.75,2369,,5 Years,
"SC5740/45-30/35  36v (25"")",36,38.81 x 25 x 22.63,SB350 GRAY,Code 21,A,9,COOLPOWER,18-85-21,8339.546922,Master CoolpowerList ,order code,18-85-21,18-85-21,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 850AH,38.25 x 24.56 x 22.2,2466,30,3Yrs Full + 1Yrs Prorated,SB350 Gray
"SC5740/45-30/35  36v (25"")",36,38.81 x 25 x 22.63,SB350 GRAY,Code 21,A,9,STRYTEN T300 (CMX),M2701808521B,9447,Master GNB List,order code,18-85-21,M2701808521B,Tubular Flooded Lead Acid Industrial Battery,36V / 850AH,38.25 x 24.56 x 22.63,2313,26.163,5 Yrs Full + 1 Prorated,SB350 Gray
"SC5740/45-30/35  36v (25"")",36,38.81 x 25 x 22.63,SB350 GRAY,Code 21,A,9,HAWKER FLEX,18-FLX770-43 (310B75P01T2-SBKN),19178.6,Master Hawker List,order code,18-FLX770-43 (310B75P01T2-SBKN),18-FLX770-43 (310B75P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 770AH,38.12 X 24.25 X 22.62,2383,,1 Year,N/A
"SC5740/45-30/35  36v (25"")",36,38.81 x 25 x 22.63,SB350 GRAY,Code 21,A,9,SIN CLASIFICAR,M290189021B,,,sin match,,M290189021B,no encontrado,no encontrado,no encontrado,no encontrado,,no encontrado,
"SC5740/45-30/35  36v (25"")",36,38.81 x 25 x 22.63,SB350 GRAY,Code 21,A,9,V-FORCE TUBULAR,18-90VTA-21,11450.48889,V-Force VTA-VTE Battery,order code,18-85-21,18-90VTA-21,Tubular Low Maintenance Lead Acid Industrial Battery,36/900,38.21x24.34x22.63,2358,31.43,5 Years,N
